,date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Ticker,pivot,pointpos
0,2019-02-14,1379.9463150108093,1385.3000374400783,1359.3587949953264,1361.9869384765625,1361.9869384765625,915441,0.0,0.0,ASIANPAINT.NS,0,
1,2019-02-15,1363.5445919736144,1367.584124170071,1335.6078213464505,1356.5360107421875,1356.5360107421875,1113223,0.0,0.0,ASIANPAINT.NS,0,
2,2019-02-18,1364.4204162058807,1364.4204162058807,1309.2284538232718,1343.3463134765625,1343.3463134765625,1460282,0.0,0.0,ASIANPAINT.NS,0,
3,2019-02-19,1335.5591614204766,1359.7968287869653,1334.537039571832,1341.204833984375,1341.204833984375,697530,0.0,0.0,ASIANPAINT.NS,0,
4,2019-02-20,1343.297616400014,1361.5976604427851,1339.4040001205935,1359.7481689453125,1359.7481689453125,843469,0.0,0.0,ASIANPAINT.NS,0,
5,2019-02-21,1361.7925492922839,1370.40715316244,1353.3239798247598,1360.62451171875,1360.62451171875,677142,0.0,0.0,ASIANPAINT.NS,0,
6,2019-02-22,1361.7925492922839,1370.309836501939,1347.3861188253056,1360.62451171875,1360.62451171875,801380,0.0,0.0,ASIANPAINT.NS,0,
7,2019-02-25,1362.716873048372,1368.411381468819,1354.3456224697702,1361.0621337890625,1361.0621337890625,711217,0.0,0.0,ASIANPAINT.NS,0,
8,2019-02-26,1359.7480657290714,1369.579422323578,1341.9347250734093,1364.71240234375,1364.71240234375,1147218,0.0,0.0,ASIANPAINT.NS,0,
9,2019-02-27,1366.659225561665,1392.7950993797754,1357.8985895003723,1368.31396484375,1368.31396484375,1462017,0.0,0.0,ASIANPAINT.NS,0,
10,2019-02-28,1377.1722898931134,1377.3669232008137,1364.177248950909,1367.8275146484375,1367.8275146484375,1230935,0.0,0.0,ASIANPAINT.NS,0,
11,2019-03-01,1371.5262928332138,1380.2382114647255,1351.1821246254476,1355.319091796875,1355.319091796875,783876,0.0,0.0,ASIANPAINT.NS,0,
12,2019-03-05,1356.4387182847395,1372.2565361334132,1345.9259056619662,1366.513427734375,1366.513427734375,1214257,0.0,0.0,ASIANPAINT.NS,0,
13,2019-03-06,1370.5527808506297,1372.4995887779742,1349.6733133593486,1356.633056640625,1356.633056640625,720335,0.0,0.0,ASIANPAINT.NS,0,
14,2019-03-07,1361.4030388709818,1368.119551361734,1354.9785951586864,1358.3367919921875,1358.3367919921875,746742,0.0,0.0,ASIANPAINT.NS,0,
15,2019-03-08,1356.6820361701136,1357.5581236712244,1343.2977290868212,1345.585205078125,1345.585205078125,524331,0.0,0.0,ASIANPAINT.NS,0,
16,2019-03-11,1352.2528047011235,1385.1539078060516,1348.1645553839644,1382.0390625,1382.0390625,1342007,0.0,0.0,ASIANPAINT.NS,0,
17,2019-03-12,1384.1806668008662,1406.9096293721227,1383.4018959707766,1390.118408203125,1390.118408203125,1333909,0.0,0.0,ASIANPAINT.NS,0,
18,2019-03-13,1401.1177489751922,1401.1177489751922,1379.313475492012,1390.31298828125,1390.31298828125,708227,0.0,0.0,ASIANPAINT.NS,0,
19,2019-03-14,1399.3656083820774,1408.4669122888477,1382.2337212357334,1396.5914306640625,1396.5914306640625,1113700,0.0,0.0,ASIANPAINT.NS,0,
20,2019-03-15,1395.8613394458669,1418.2496315011354,1390.6536517977572,1394.449951171875,1394.449951171875,1667627,0.0,0.0,ASIANPAINT.NS,0,
21,2019-03-18,1407.541973197054,1421.7536457038723,1398.3919532026764,1407.152587890625,1407.152587890625,1148000,0.0,0.0,ASIANPAINT.NS,0,
22,2019-03-19,1403.648524657002,1421.0237617557295,1401.7017167171173,1415.2320556640625,1415.2320556640625,886660,0.0,0.0,ASIANPAINT.NS,0,
23,2019-03-20,1423.1166307772771,1427.010246730156,1409.9756769363105,1417.4222412109375,1417.4222412109375,764625,0.0,0.0,ASIANPAINT.NS,0,
24,2019-03-22,1420.1964067146348,1440.540573659871,1413.9665974783513,1432.12060546875,1432.12060546875,1380404,0.0,0.0,ASIANPAINT.NS,0,
25,2019-03-25,1426.1340403126414,1436.3547813356518,1412.8957709428194,1418.784912109375,1418.784912109375,848078,0.0,0.0,ASIANPAINT.NS,0,
26,2019-03-26,1421.6565943284018,1452.5621724659757,1421.6565943284018,1445.5537109375,1445.5537109375,1630147,0.0,0.0,ASIANPAINT.NS,0,
27,2019-03-27,1454.2657083477832,1457.137202879616,1424.5768836459042,1432.8995361328125,1432.8995361328125,1387002,0.0,0.0,ASIANPAINT.NS,0,
28,2019-03-28,1434.3107969682856,1468.8179213102053,1434.3107969682856,1457.185791015625,1457.185791015625,1353947,0.0,0.0,ASIANPAINT.NS,0,
29,2019-04-01,1456.9425665415067,1463.9997461689836,1450.3720889573042,1453.0489501953125,1453.0489501953125,707570,0.0,0.0,ASIANPAINT.NS,0,
30,2019-04-02,1453.2922481939331,1482.9323540184273,1445.0670314921895,1478.892822265625,1478.892822265625,1326634,0.0,0.0,ASIANPAINT.NS,0,
31,2019-04-03,1480.791051258039,1489.1623031158492,1453.292384242072,1457.77001953125,1457.77001953125,1606692,0.0,0.0,ASIANPAINT.NS,2,1489.1633031158492
32,2019-04-04,1464.7785393672605,1484.4412546867286,1463.0263644551824,1478.600830078125,1478.600830078125,1409222,0.0,0.0,ASIANPAINT.NS,0,
